Title,Ease_Score,Download_Count,Index
The Lost Cabin Mine,86,83,43975
A Thorny Path — Volume 03,70.7,44,5532
True Irish Ghost Stories,74.2,100,14099
Fly By Night,74.7,78,32734
The Pure Observers,80.1,57,60582
"Punch, or the London Charivari, Vol. 158, June 16, 1920",70.9,71,32080
The Expositor's Bible: The Book of Genesis,56.6,86,39395
Indian Stories Retold From St. Nicholas,74.1,51,35021
"Frank's Campaign; Or, The Farm and the Camp",83,116,1573
"Other Worlds
A story concerning the wealth earned by American citizens and showing how it can be secured to them instead of to the trusts",77.4,54,64241
"The Wonders of the Jungle, Book One",87,231,24852
Diary of Samuel Pepys — Volume 62: February 1667-68,56,58,4186
"A Year in a Yawl
A True Tale of the Adventures of Four Boys in a Thirty-foot Yawl",77.5,109,56792
Count Zarka: A Romance,81.8,43,67905
Washington album,40.1,41,68387
"How a Farthing Made a Fortune; or ""Honesty is the best policy""",81.5,53,54961
"Kidnapping in the Pacific; Or, The Adventures of Boas Ringdon
A long four-part Yarn",80.8,67,40691
The Mystery of Cleverly: A Story for Boys,78.5,52,64386
"The Geologic Story of Arches National Park
Geological Survey Bulletin 1393",59.1,99,51116
"Nuova; or, The New Bee",80.1,70,39248
A Humorous History of England,78,164,26388
Little Ferns For Fanny's Little Friends,82.6,164,20561
Cosmopolis — Complete,68,89,3967
The eternal savage,77.6,111,70002
The Life of Mrs. Robert Louis Stevenson,72,219,24332
"Capitals
A Primer of Information about Capitalization with some Practical Typographic Hints as to the Use of Capitals",57.7,198,20374
Bunyan Characters (1st Series),70.8,105,1885
The World English Bible (WEB): Revelation,84.5,37,8293
"""Monsieur Henri"": A Foot-Note to French History",64,74,56544
"A Select Collection of Valuable and Curious Arts and Interesting Experiments,
Which are Well Explained and Warranted Genuine and may be Performed Easily, Safely, and at Little Expense.",62.3,224,38067
"Won at last : $b or, Mrs. Briscoe's nephews",93,77,71133
Women of the Romance Countries,50.6,75,18642
"The Water Supply of the El Paso and Southwestern Railway from Carrizozo to Santa Rosa, N. Mex.
American Society of Civil Engineers: Transactions, No. 1170",74.8,72,16440
"Miscellaneous Pieces, in Prose",50.9,114,48056
The Ordeal of Richard Feverel: A History of a Father and Son,83,123,34858
Vera,78.6,145,34366
The Kiltartan Poetry Book; prose translations from the Irish,74.9,65,6656
"G. A. Selwyn, D.D.: Bishop of New Zealand and Lichfield",62.3,65,60731
"The Bay State Monthly — Volume 1, No. 5, May, 1884",53.3,81,13632
